Generation,cores,pop,GenerationFitness,GenerationTime
17,1,50,5113,149,
18,1,50,5113,177,
19,1,50,5482,182,
20,1,50,8892,200,
21,1,50,13896,257,
22,1,50,22853,427,
23,1,50,22853,778,
24,1,50,23632,871,
25,1,50,26264,744,
26,1,50,26264,854,
27,1,50,31473,968,
28,1,50,35158,1026,
29,1,50,35158,997,
30,1,50,40379,1190,
1,4,10,9,0,
2,4,10,26,0,
3,4,10,44,0,
4,4,10,44,0,
5,4,10,58,0,
6,4,10,58,0,
7,4,10,59,0,
8,4,10,67,0,
9,4,10,68,0,
10,4,10,68,0,
11,4,10,68,0,
12,4,10,72,0,
13,4,10,72,0,
14,4,10,72,0,
15,4,10,74,0,
16,4,10,74,0,
17,4,10,74,0,
18,4,10,149,0,
19,4,10,149,0,
20,4,10,149,0,
21,4,10,195,0,
22,4,10,195,0,
23,4,10,195,0,
24,4,10,245,0,
25,4,10,245,0,
26,4,10,245,0,
27,4,10,245,0,
28,4,10,245,0,
29,4,10,245,0,
30,4,10,245,0,
1,4,10,9,0,
2,4,10,9,0,
3,4,10,15,0,
4,4,10,37,0,
5,4,10,37,0,
6,4,10,39,0,
7,4,10,39,0,
8,4,10,42,0,
9,4,10,42,0,
10,4,10,42,0,
11,4,10,42,0,
12,4,10,44,0,
13,4,10,69,0,
14,4,10,72,0,
15,4,10,72,0,
16,4,10,74,0,
17,4,10,79,0,
18,4,10,79,0,
19,4,10,79,0,
20,4,10,79,0,
21,4,10,79,0,
22,4,10,79,0,
23,4,10,79,0,
24,4,10,87,0,
25,4,10,87,0,
26,4,10,87,0,
27,4,10,87,0,
28,4,10,87,0,
29,4,10,87,0,
30,4,10,87,0,
1,4,10,0,1,
2,4,10,3,0,
3,4,10,3,0,
4,4,10,3,0,
5,4,10,3,0,
6,4,10,7,0,
7,4,10,11,0,
8,4,10,12,0,
9,4,10,13,0,
10,4,10,26,0,
11,4,10,39,0,
12,4,10,42,0,
13,4,10,56,0,
14,4,10,57,0,
15,4,10,63,0,
16,4,10,73,0,
17,4,10,73,0,
18,4,10,73,0,
19,4,10,73,0,
20,4,10,73,0,
21,4,10,73,0,
22,4,10,73,0,
23,4,10,73,0,
24,4,10,73,0,
25,4,10,73,0,
26,4,10,73,0,
27,4,10,73,0,
28,4,10,73,0,
29,4,10,73,0,
30,4,10,78,0,
1,4,10,17,0,
2,4,10,22,0,
3,4,10,30,0,
4,4,10,35,0,
5,4,10,49,0,
6,4,10,74,0,
7,4,10,120,0,
8,4,10,120,0,
9,4,10,148,0,
10,4,10,148,0,
11,4,10,148,0,
12,4,10,148,0,
13,4,10,154,0,
14,4,10,200,0,
15,4,10,200,0,
16,4,10,200,0,
17,4,10,206,0,
18,4,10,206,0,
19,4,10,206,0,
20,4,10,206,0,
21,4,10,206,0,
22,4,10,380,0,
23,4,10,849,1,
24,4,10,849,1,
25,4,10,849,2,
26,4,10,867,2,
27,4,10,867,2,
28,4,10,867,2,
29,4,10,867,2,
30,4,10,1052,2,
1,4,10,1,0,
2,4,10,2,0,
3,4,10,3,0,
4,4,10,4,0,
5,4,10,6,0,
6,4,10,9,0,
7,4,10,9,0,
8,4,10,10,0,
9,4,10,10,0,
10,4,10,10,0,
11,4,10,11,0,
12,4,10,15,0,
13,4,10,49,0,
14,4,10,57,0,
15,4,10,61,0,
16,4,10,61,0,
17,4,10,62,0,
18,4,10,66,0,
19,4,10,66,0,
20,4,10,66,0,
21,4,10,66,0,
22,4,10,77,0,
23,4,10,77,0,
24,4,10,98,0,
25,4,10,98,0,
26,4,10,132,0,
27,4,10,132,0,
28,4,10,132,0,
29,4,10,132,0,
30,4,10,132,0,
1,4,30,39,2,
2,4,30,39,1,
3,4,30,209,1,
4,4,30,210,1,
5,4,30,954,2,
6,4,30,1067,4,
7,4,30,1443,7,
8,4,30,2306,9,
9,4,30,2997,14,
10,4,30,5090,25,
11,4,30,5832,39,
12,4,30,6272,41,
13,4,30,10106,59,
14,4,30,10106,51,
15,4,30,10106,49,
16,4,30,10106,46,
17,4,30,10106,56,
18,4,30,10106,53,
19,4,30,10106,60,
20,4,30,10106,47,
21,4,30,10106,56,
22,4,30,10106,49,
23,4,30,10106,53,
24,4,30,10732,57,
25,4,30,10732,55,
26,4,30,15603,85,
27,4,30,22941,116,
28,4,30,22941,110,
29,4,30,24105,126,
30,4,30,24105,153,
1,4,30,6,1,
2,4,30,15,1,
3,4,30,20,0,
4,4,30,24,0,
5,4,30,33,0,
6,4,30,33,0,
7,4,30,75,0,
8,4,30,77,0,
9,4,30,77,1,
10,4,30,82,1,
11,4,30,82,1,
12,4,30,92,1,
13,4,30,1030,2,
14,4,30,1140,3,
15,4,30,1363,10,
16,4,30,1453,11,
17,4,30,1959,12,
18,4,30,2006,14,
19,4,30,2319,15,
20,4,30,2684,17,
21,4,30,2684,16,
22,4,30,2684,15,
23,4,30,3037,20,
24,4,30,3037,18,
25,4,30,3037,17,
26,4,30,3037,15,
27,4,30,3037,19,
28,4,30,3037,19,
29,4,30,3037,17,
30,4,30,3037,20,
1,4,30,5,1,
2,4,30,7,1,
3,4,30,8,0,
4,4,30,15,0,
5,4,30,18,0,
6,4,30,33,0,
7,4,30,36,0,
8,4,30,115,0,
9,4,30,115,0,
10,4,30,115,1,
11,4,30,135,1,
12,4,30,135,1,
13,4,30,140,1,
14,4,30,140,1,
15,4,30,146,1,
16,4,30,157,1,
17,4,30,184,1,
18,4,30,195,1,
19,4,30,421,2,
20,4,30,899,4,
21,4,30,1746,8,
22,4,30,1746,8,
23,4,30,1746,8,
24,4,30,1746,8,
25,4,30,1746,9,
26,4,30,1746,10,
27,4,30,1746,10,
28,4,30,2312,14,
29,4,30,2683,15,
30,4,30,5147,20,
1,4,30,4,2,
2,4,30,18,1,
3,4,30,18,0,
4,4,30,32,0,
5,4,30,42,0,
6,4,30,55,0,
7,4,30,64,0,
8,4,30,109,1,
9,4,30,109,0,
10,4,30,163,1,
11,4,30,163,1,
12,4,30,187,2,
13,4,30,353,2,
14,4,30,505,2,
15,4,30,524,3,
16,4,30,1334,5,
17,4,30,1996,9,
18,4,30,3418,12,
19,4,30,3912,23,
20,4,30,6615,33,
21,4,30,6615,33,
22,4,30,6615,31,
23,4,30,7648,36,
24,4,30,7937,38,
25,4,30,10749,57,
26,4,30,12392,75,
27,4,30,13656,76,
