Fitness,Time,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Weight7,Weight8,Weight9,Weight10,Weight11,Weight12,Weight13,Weight14
69476,614,-17.438601079728823,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.472282846859972,-2.9786543181746685,-7.2353336150641425,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-6.490528315881255,-3.9319388005998657,-7.470464919777575,
71348,709,-17.438601079728823,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.240259163476006,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
73093,667,-2.9207546185042563,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
73093,759,-2.9207546185042563,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
76255,784,-6.0261397444994405,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
76255,680,-6.0261397444994405,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
76255,848,-6.0261397444994405,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
77652,839,14.721455414544087,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.240259163476006,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
77652,772,14.721455414544087,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.240259163476006,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
77652,789,14.721455414544087,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-7.240259163476006,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-7.470464919777575,
79644,849,-6.0261397444994405,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
79644,777,-6.0261397444994405,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
79644,747,-6.0261397444994405,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
89691,864,-2.9207546185042563,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
89691,769,-2.9207546185042563,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,899,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,960,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,972,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,792,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,802,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,968,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,1040,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,1012,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,1055,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
102103,1012,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1075,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,868,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1043,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1016,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1029,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,789,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,961,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1003,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,889,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,868,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,955,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,970,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1019,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1040,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1116,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,870,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,985,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1054,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1129,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1041,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,942,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,808,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,844,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1053,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1091,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,883,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,973,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,998,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1128,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,971,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1122,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
